Event Index	UTC Timestamp	UTC Date and Time	Local Timestamp	Local Timezone	Local Date and Time	Experiment ID	Experiment Version	Tree Node Key	Repeat Key	Schedule ID	Participant Public ID	Participant Starting Group	Participant Status	Participant Completion Code	Participant External Session ID	Participant Device Type	Participant Device	Participant OS	Participant Browser	Participant Monitor Size	Participant Viewport Size	Checkpoint	Room ID	Room Order	Task Name	Task Version	Spreadsheet	Trial Number	Display	Screen	Screen ID	Screen Counter	Response Type	Response	Onset Time	Clock Time	Reaction Time	Absolute Onset Time	Absolute Clock Time	Absolute Reaction Time	Correct	Response Onset	Response Duration	Proportion	Tag	Component Name	Object Name	Object Number	Object ID	Spreadsheet: display	Spreadsheet: screen	Spreadsheet: randomise_trials	Spreadsheet: pcp	Spreadsheet: pcp_string	Spreadsheet: group_no	Spreadsheet: sample_size	Spreadsheet: set_no	Spreadsheet: spacing	Spreadsheet: estimated_value	Spreadsheet: attention_image	Spreadsheet: correct_attention_choice	Spreadsheet: correct_answer	Spreadsheet: scale_factor	Spreadsheet: refactored_correct_answer	Spreadsheet: question_counter	Spreadsheet: text	Spreadsheet: helptext	Manipulation: Spreadsheet
76	1696859887888	09/10/2023 13:58:07	1696867087888	2	09/10/2023 17:58:07	142982	9	task-i1zc		32116471	9e5880bbdb739b661e23128757291ce6		complete		6524206f71ba7bb48699eec9	computer	Desktop or Laptop	Windows 10	Chrome 117.0.0.0	1920x1080	1920x963			0	pcp_vt	13	Spreadsheet1	20	pcp_vt	pcp_vt_stimulus	9rtpjb	2	continue		8543.593000023859	8542.587999999989	8543.593000023859	8543.593000023859	8542.587999999989	8543.593000023859	1	8543.593000023859	0	0		Click To Continue	submit_button	4	object-49	pcp_vt	pcp_vt_stimulus	1	live_3_pcp_vt_size_20_set_0_60.png	live_3_pcp_vt_size_20_set_0_60	3	20	0	60				35	2	55	1			
77	1696859887890	09/10/2023 13:58:07	1696867087890	2	09/10/2023 17:58:07	142982	9	task-i1zc		32116471	9e5880bbdb739b661e23128757291ce6		complete		6524206f71ba7bb48699eec9	computer	Desktop or Laptop	Windows 10	Chrome 117.0.0.0	1920x1080	1920x963			0	pcp_vt	13	Spreadsheet1	20	pcp_vt	pcp_vt_stimulus	9rtpjb	2	response	20	7775.124000000011	8542.587999999989	8545.292999952333	7775.124000000011	8542.587999999989	8545.292999952333	1	7775.124000000011	770.1689999523223	0	estimated_value_response	Number Entry	estimated_value_input	5	object-50	pcp_vt	pcp_vt_stimulus	1	live_3_pcp_vt_size_20_set_0_60.png	live_3_pcp_vt_size_20_set_0_60	3	20	0	60				35	2	55	1			
78	1696859889856	09/10/2023 13:58:09	1696867089856	2	09/10/2023 17:58:09	142982	9	task-i1zc		32116471	9e5880bbdb739b661e23128757291ce6		complete		6524206f71ba7bb48699eec9	computer	Desktop or Laptop	Windows 10	Chrome 117.0.0.0	1920x1080	1920x963			0	pcp_vt	13	Spreadsheet1	21	pcp_vt	fixation	gec9f5	1	continue		1968.9000000000233	1968.9000000000233	1968.9000000000233	1968.9000000000233	1968.9000000000233	1968.9000000000233	1	1968.9000000000233	0	0		Fixation Timing	Fixation	1	object-29	pcp_vt	pcp_vt_stimulus	1	live_2_pcp_vt_size_20_set_0_120.png	live_2_pcp_vt_size_20_set_0_120	2	20	0	120				46	4	86	1			
79	1696859895776	09/10/2023 13:58:15	1696867095776	2	09/10/2023 17:58:15	142982	9	task-i1zc		32116471	9e5880bbdb739b661e23128757291ce6		complete		6524206f71ba7bb48699eec9	computer	Desktop or Laptop	Windows 10	Chrome 117.0.0.0	1920x1080	1920x963			0	pcp_vt	13	Spreadsheet1	21	pcp_vt	pcp_vt_stimulus	9rtpjb	2	continue		5919.804999952321	5906.450000000012	5919.804999952321	5919.804999952321	5906.450000000012	5919.804999952321	1	5919.804999952321	0	0		Click To Continue	submit_button	4	object-49	pcp_vt	pcp_vt_stimulus	1	live_2_pcp_vt_size_20_set_0_120.png	live_2_pcp_vt_size_20_set_0_120	2	20	0	120				46	4	86	1			
80	1696859895776	09/10/2023 13:58:15	1696867095776	2	09/10/2023 17:58:15	142982	9	task-i1zc		32116471	9e5880bbdb739b661e23128757291ce6		complete		6524206f71ba7bb48699eec9	computer	Desktop or Laptop	Windows 10	Chrome 117.0.0.0	1920x1080	1920x963			0	pcp_vt	13	Spreadsheet1	21	pcp_vt	pcp_vt_stimulus	9rtpjb	2	response	87	5389.2179999999935	5906.450000000012	5920.204999928479	5389.2179999999935	5906.450000000012	5920.204999928479	1	5389.2179999999935	530.9869999284856	0	estimated_value_response	Number Entry	estimated_value_input	5	object-50	pcp_vt	pcp_vt_stimulus	1	live_2_pcp_vt_size_20_set_0_120.png	live_2_pcp_vt_size_20_set_0_120	2	20	0	120				46	4	86	1			
81	1696859897732	09/10/2023 13:58:17	1696867097732	2	09/10/2023 17:58:17	142982	9	task-i1zc		32116471	9e5880bbdb739b661e23128757291ce6		complete		6524206f71ba7bb48699eec9	computer	Desktop or Laptop	Windows 10	Chrome 117.0.0.0	1920x1080	1920x963			0	pcp_vt	13	Spreadsheet1	22	pcp_vt	fixation	gec9f5	1	continue		1968.8099999999977	1968.8099999999977	1968.8099999999977	1968.8099999999977	1968.8099999999977	1968.8099999999977	1	1968.8099999999977	0	0		Fixation Timing	Fixation	1	object-29	pcp_vt	pcp_vt_stimulus	1	live_3_pcp_vt_size_10_set_0_480.png	live_3_pcp_vt_size_10_set_0_480	3	10	0	480				47	16	207	1			
82	1696859907408	09/10/2023 13:58:27	1696867107408	2	09/10/2023 17:58:27	142982	9	task-i1zc		32116471	9e5880bbdb739b661e23128757291ce6		complete		6524206f71ba7bb48699eec9	computer	Desktop or Laptop	Windows 10	Chrome 117.0.0.0	1920x1080	1920x963			0	pcp_vt	13	Spreadsheet1	22	pcp_vt	pcp_vt_stimulus	9rtpjb	2	continue		9676.644999976153	9660.559999999998	9676.644999976153	9676.644999976153	9660.559999999998	9676.644999976153	1	9676.644999976153	0	0		Click To Continue	submit_button	4	object-49	pcp_vt	pcp_vt_stimulus	1	live_3_pcp_vt_size_10_set_0_480.png	live_3_pcp_vt_size_10_set_0_480	3	10	0	480				47	16	207	1			
83	1696859909224	09/10/2023 13:58:29	1696867109224	2	09/10/2023 17:58:29	142982	9	task-i1zc		32116471	9e5880bbdb739b661e23128757291ce6		complete		6524206f71ba7bb48699eec9	computer	Desktop or Laptop	Windows 10	Chrome 117.0.0.0	1920x1080	1920x963			0	pcp_vt	13	Spreadsheet1	22	pcp_vt	pcp_vt_stimulus	9rtpjb	2	continue		11492.744999999995	11479.238000000012	11492.744999999995	11492.744999999995	11479.238000000012	11492.744999999995	1	11492.744999999995	0	0		Click To Continue	submit_button	4	object-49	pcp_vt	pcp_vt_stimulus	1	live_3_pcp_vt_size_10_set_0_480.png	live_3_pcp_vt_size_10_set_0_480	3	10	0	480				47	16	207	1			
84	1696859913280	09/10/2023 13:58:33	1696867113280	2	09/10/2023 17:58:33	142982	9	task-i1zc		32116471	9e5880bbdb739b661e23128757291ce6		complete		6524206f71ba7bb48699eec9	computer	Desktop or Laptop	Windows 10	Chrome 117.0.0.0	1920x1080	1920x963			0	pcp_vt	13	Spreadsheet1	22	pcp_vt	pcp_vt_stimulus	9rtpjb	2	continue		15548.744999999995	15533.676999999967	15548.744999999995	15548.744999999995	15533.676999999967	15548.744999999995	1	15548.744999999995	0	0		Click To Continue	submit_button	4	object-49	pcp_vt	pcp_vt_stimulus	1	live_3_pcp_vt_size_10_set_0_480.png	live_3_pcp_vt_size_10_set_0_480	3	10	0	480				47	16	207	1			
85	1696859913280	09/10/2023 13:58:33	1696867113280	2	09/10/2023 17:58:33	142982	9	task-i1zc		32116471	9e5880bbdb739b661e23128757291ce6		complete		6524206f71ba7bb48699eec9	computer	Desktop or Laptop	Windows 10	Chrome 117.0.0.0	1920x1080	1920x963			0	pcp_vt	13	Spreadsheet1	22	pcp_vt	pcp_vt_stimulus	9rtpjb	2	response	208	8809.646999999997	15533.676999999967	15549.044999952312	8809.646999999997	15533.676999999967	15549.044999952312	1	8809.646999999997	6739.397999952314	0	estimated_value_response	Number Entry	estimated_value_input	5	object-50	pcp_vt	pcp_vt_stimulus	1	live_3_pcp_vt_size_10_set_0_480.png	live_3_pcp_vt_size_10_set_0_480	3	10	0	480				47	16	207	1			
