Event Index	UTC Timestamp	UTC Date	Local Timestamp	Local Timezone	Local Date	Experiment ID	Experiment Version	Tree Node Key	Repeat Key	Schedule ID	Participant Public ID	Participant Starting Group	Participant Status	Participant Completion Code	Participant External Session ID	Participant Device Type	Participant Device	Participant OS	Participant Browser	Participant Monitor Size	Participant Viewport Size	Checkpoint	Task Name	Task Version	Spreadsheet	Trial Number	Display	Screen	Screen ID	Screen Counter	Response Type	Response	Onset Time	Clock Time	Reaction Time	Absolute Onset Time	Absolute Clock Time	Absolute Reaction Time	Correct	Response Onset	Response Duration	Proportion	Tag	Component Name	Object Name	Object Number	Object ID	Spreadsheet: display	Spreadsheet: randomise_trials	Spreadsheet: pcp	Spreadsheet: pcp_string	Spreadsheet: corr	Spreadsheet: sample_size	Spreadsheet: spacing	Spreadsheet: corr_scale	Spreadsheet: corr_estimated	Spreadsheet: attention_image	Spreadsheet: correct_attention_choice	Spreadsheet: text	Spreadsheet: screen	Spreadsheet: helptext	Spreadsheet: corr_correct_response	Manipulation: Spreadsheet
99	1686557746035	12/06/2023 08:15:46	1686564946035	2	12/06/2023 12:15:46	135554	9	task-3dzl		30006953	3541d3d80da302b0d5eafd34bfc9ef20		complete		6486edd0e3f7afa99610f915	computer	Desktop or Laptop	Windows 10	Chrome 114.0.0.0	1536x864	1536x722		corr_spacing	20	gorilla_corr_est	28	corr_est	fixation	uey5yj	1	continue		1967.7790000000386	1967.7790000000386	1967.7790000000386	1967.7790000000386	1967.7790000000386	1967.7790000000386	1	1967.7790000000386	0	0		Fixation Timing	Fixation	1	object-16	corr_est	1	pcp_corr_0.905_size_160_30.png	pcp_corr_0.905_size_160_30	0.905	160	30	3					corr_est_stimulus			
100	1686557752623	12/06/2023 08:15:52	1686564952623	2	12/06/2023 12:15:52	135554	9	task-3dzl		30006953	3541d3d80da302b0d5eafd34bfc9ef20		complete		6486edd0e3f7afa99610f915	computer	Desktop or Laptop	Windows 10	Chrome 114.0.0.0	1536x864	1536x722		corr_spacing	20	gorilla_corr_est	28	corr_est	corr_est_stimulus	ws1eyw	2	tooEarly	2	0	0	0	6582.212999999989	6565.565999999992	6582.212999999989	1	0	0	0	estimated_corr	Click Response	++	9	object-28	corr_est	1	pcp_corr_0.905_size_160_30.png	pcp_corr_0.905_size_160_30	0.905	160	30	3					corr_est_stimulus			
101	1686557752642	12/06/2023 08:15:52	1686564952642	2	12/06/2023 12:15:52	135554	9	task-3dzl		30006953	3541d3d80da302b0d5eafd34bfc9ef20		complete		6486edd0e3f7afa99610f915	computer	Desktop or Laptop	Windows 10	Chrome 114.0.0.0	1536x864	1536x722		corr_spacing	20	gorilla_corr_est	28	corr_est	corr_est_stimulus	ws1eyw	2	continue		0	0	0	6582.212999999989	6565.565999999992	6582.212999999989	1	0	0	0		Click To Continue	++	9	object-28	corr_est	1	pcp_corr_0.905_size_160_30.png	pcp_corr_0.905_size_160_30	0.905	160	30	3					corr_est_stimulus			
102	1686557754566	12/06/2023 08:15:54	1686564954566	2	12/06/2023 12:15:54	135554	9	task-3dzl		30006953	3541d3d80da302b0d5eafd34bfc9ef20		complete		6486edd0e3f7afa99610f915	computer	Desktop or Laptop	Windows 10	Chrome 114.0.0.0	1536x864	1536x722		corr_spacing	20	gorilla_corr_est	29	corr_est	fixation	uey5yj	1	continue		1966.7099999999627	1966.7099999999627	1966.7099999999627	1966.7099999999627	1966.7099999999627	1966.7099999999627	1	1966.7099999999627	0	0		Fixation Timing	Fixation	1	object-16	corr_est	1	pcp_corr_-0.905_size_160_480.png	pcp_corr_-0.905_size_160_480	-0.905	160	480	-3					corr_est_stimulus			
103	1686557757209	12/06/2023 08:15:57	1686564957209	2	12/06/2023 12:15:57	135554	9	task-3dzl		30006953	3541d3d80da302b0d5eafd34bfc9ef20		complete		6486edd0e3f7afa99610f915	computer	Desktop or Laptop	Windows 10	Chrome 114.0.0.0	1536x864	1536x722		corr_spacing	20	gorilla_corr_est	29	corr_est	corr_est_stimulus	ws1eyw	2	tooEarly	-3	0	0	0	2644.0120000059833	2633.1040000000503	2644.0120000059833	1	0	0	0	estimated_corr	Click Response	---	4	object-23	corr_est	1	pcp_corr_-0.905_size_160_480.png	pcp_corr_-0.905_size_160_480	-0.905	160	480	-3					corr_est_stimulus			
104	1686557757210	12/06/2023 08:15:57	1686564957210	2	12/06/2023 12:15:57	135554	9	task-3dzl		30006953	3541d3d80da302b0d5eafd34bfc9ef20		complete		6486edd0e3f7afa99610f915	computer	Desktop or Laptop	Windows 10	Chrome 114.0.0.0	1536x864	1536x722		corr_spacing	20	gorilla_corr_est	29	corr_est	corr_est_stimulus	ws1eyw	2	continue		0	0	0	2644.9119999821414	2633.1040000000503	2644.9119999821414	1	0	0	0		Click To Continue	---	4	object-23	corr_est	1	pcp_corr_-0.905_size_160_480.png	pcp_corr_-0.905_size_160_480	-0.905	160	480	-3					corr_est_stimulus			
105	1686557759166	12/06/2023 08:15:59	1686564959166	2	12/06/2023 12:15:59	135554	9	task-3dzl		30006953	3541d3d80da302b0d5eafd34bfc9ef20		complete		6486edd0e3f7afa99610f915	computer	Desktop or Laptop	Windows 10	Chrome 114.0.0.0	1536x864	1536x722		corr_spacing	20	gorilla_corr_est	30	corr_est	fixation	uey5yj	1	continue		1966.9109999999637	1966.9109999999637	1966.9109999999637	1966.9109999999637	1966.9109999999637	1966.9109999999637	1	1966.9109999999637	0	0		Fixation Timing	Fixation	1	object-16	corr_est	1	pcp_corr_0.905_size_160_480.png	pcp_corr_0.905_size_160_480	0.905	160	480	3					corr_est_stimulus			
106	1686557762233	12/06/2023 08:16:02	1686564962233	2	12/06/2023 12:16:02	135554	9	task-3dzl		30006953	3541d3d80da302b0d5eafd34bfc9ef20		complete		6486edd0e3f7afa99610f915	computer	Desktop or Laptop	Windows 10	Chrome 114.0.0.0	1536x864	1536x722		corr_spacing	20	gorilla_corr_est	30	corr_est	corr_est_stimulus	ws1eyw	2	tooEarly	3	0	0	0	3066.49099999998	3049.9290000000037	3066.49099999998	1	0	0	0	estimated_corr	Click Response	+++	10	object-29	corr_est	1	pcp_corr_0.905_size_160_480.png	pcp_corr_0.905_size_160_480	0.905	160	480	3					corr_est_stimulus			
107	1686557762235	12/06/2023 08:16:02	1686564962235	2	12/06/2023 12:16:02	135554	9	task-3dzl		30006953	3541d3d80da302b0d5eafd34bfc9ef20		complete		6486edd0e3f7afa99610f915	computer	Desktop or Laptop	Windows 10	Chrome 114.0.0.0	1536x864	1536x722		corr_spacing	20	gorilla_corr_est	30	corr_est	corr_est_stimulus	ws1eyw	2	continue		0	0	0	3066.49099999998	3049.9290000000037	3066.49099999998	1	0	0	0		Click To Continue	+++	10	object-29	corr_est	1	pcp_corr_0.905_size_160_480.png	pcp_corr_0.905_size_160_480	0.905	160	480	3					corr_est_stimulus			
108	1686557764183	12/06/2023 08:16:04	1686564964183	2	12/06/2023 12:16:04	135554	9	task-3dzl		30006953	3541d3d80da302b0d5eafd34bfc9ef20		complete		6486edd0e3f7afa99610f915	computer	Desktop or Laptop	Windows 10	Chrome 114.0.0.0	1536x864	1536x722		corr_spacing	20	gorilla_corr_est	31	corr_est	fixation	uey5yj	1	continue		1966.61599999998	1966.61599999998	1966.61599999998	1966.61599999998	1966.61599999998	1966.61599999998	1	1966.61599999998	0	0		Fixation Timing	Fixation	1	object-16	corr_est	1	pcp_corr_-0.905_size_40_120.png	pcp_corr_-0.905_size_40_120	-0.905	40	120	-3					corr_est_stimulus			
109	1686557767607	12/06/2023 08:16:07	1686564967607	2	12/06/2023 12:16:07	135554	9	task-3dzl		30006953	3541d3d80da302b0d5eafd34bfc9ef20		complete		6486edd0e3f7afa99610f915	computer	Desktop or Laptop	Windows 10	Chrome 114.0.0.0	1536x864	1536x722		corr_spacing	20	gorilla_corr_est	31	corr_est	corr_est_stimulus	ws1eyw	2	tooEarly	-3	0	0	0	3425.9520000059856	3416.8820000000414	3425.9520000059856	1	0	0	0	estimated_corr	Click Response	---	4	object-23	corr_est	1	pcp_corr_-0.905_size_40_120.png	pcp_corr_-0.905_size_40_120	-0.905	40	120	-3					corr_est_stimulus			
110	1686557767608	12/06/2023 08:16:07	1686564967608	2	12/06/2023 12:16:07	135554	9	task-3dzl		30006953	3541d3d80da302b0d5eafd34bfc9ef20		complete		6486edd0e3f7afa99610f915	computer	Desktop or Laptop	Windows 10	Chrome 114.0.0.0	1536x864	1536x722		corr_spacing	20	gorilla_corr_est	31	corr_est	corr_est_stimulus	ws1eyw	2	continue		0	0	0	3426.4520000059856	3416.8820000000414	3426.4520000059856	1	0	0	0		Click To Continue	---	4	object-23	corr_est	1	pcp_corr_-0.905_size_40_120.png	pcp_corr_-0.905_size_40_120	-0.905	40	120	-3					corr_est_stimulus			
111	1686557769566	12/06/2023 08:16:09	1686564969566	2	12/06/2023 12:16:09	135554	9	task-3dzl		30006953	3541d3d80da302b0d5eafd34bfc9ef20		complete		6486edd0e3f7afa99610f915	computer	Desktop or Laptop	Windows 10	Chrome 114.0.0.0	1536x864	1536x722		corr_spacing	20	gorilla_corr_est	32	corr_est	fixation	uey5yj	1	continue		1966.5769999999902	1966.5769999999902	1966.5769999999902	1966.5769999999902	1966.5769999999902	1966.5769999999902	1	1966.5769999999902	0	0		Fixation Timing	Fixation	1	object-16	corr_est	1	pcp_corr_0.905_size_40_120.png	pcp_corr_0.905_size_40_120	0.905	40	120	3					corr_est_stimulus			
